date,ticker,price,log_return,class_1,class_2
2010-03-01,ACGL,7.767784595489502,-0.00623732702673819,0,1
2010-03-01,ACN,28.4871883392334,-0.06325522013439998,0,0
2010-03-01,ADBE,32.08000183105469,-0.07706492959674385,0,0
2010-03-01,ADI,20.501846313476562,0.004210128215714977,1,1
2010-03-01,ADM,17.141714096069336,-0.1449639009991392,0,0
2010-03-01,ADP,25.105274200439453,-0.009764745958396907,0,1
2010-03-01,ADSK,29.260000228881836,0.04831184762362968,1,1
2010-03-01,AEE,14.176396369934082,0.012330852666901202,1,1
2010-03-01,AEP,18.07512092590332,-0.03837335019429848,0,0
2010-03-01,AES,7.039602756500244,-0.12950663884269503,0,0
2010-03-01,AFL,15.450434684753418,-0.1040162967278129,0,0
2010-03-01,AIG,22.713638305664062,0.3565134995064809,1,1
2010-03-01,AIZ,25.895416259765625,0.13325364346153962,1,1
2010-03-01,AJG,16.702268600463867,0.053799154415820685,1,1
2010-03-01,AKAM,39.720001220703125,0.41228595973506466,1,1
2010-03-01,ALB,34.891788482666016,0.1420011241307656,1,1
2010-03-01,ALGN,14.920000076293945,-0.19320935945830534,0,0
2010-03-01,ALL,21.780574798583984,-0.020039652421695073,0,0
2010-03-01,ALLE,,,0,0
2010-03-01,AMAT,10.111245155334473,0.05887881966438812,1,1
2010-03-01,AMCR,,,0,0
2010-03-01,AMD,8.569999694824219,0.08013993451085381,1,1
2010-03-01,AME,16.378673553466797,0.04080171488967107,1,1
2010-03-01,AMGN,36.41401672363281,-0.08918164407953538,0,0
2010-03-01,AMP,28.92054557800293,-0.0015212629440167183,0,1
2010-03-01,AMT,30.947168350219727,-0.051219844344673256,0,0
2010-03-01,AMTM,,,0,0
2010-03-01,AMZN,6.2729997634887695,0.05791820962815092,1,1
2010-03-01,ANET,,,0,0
2010-03-01,ANSS,43.72999954223633,-0.0029684019487721085,0,1
2010-03-01,AON,33.7520751953125,-0.03273096260930197,0,0
2010-03-01,AOS,6.233461856842041,0.03333356397528604,1,1
2010-03-01,APA,69.57752990722656,-0.1448532749795183,0,0
2010-03-01,APD,44.12060546875,0.012431840502600027,1,1
2010-03-01,APH,4.687591552734375,0.018189903561905103,1,1
2010-03-01,APTV,,,0,0
2010-03-01,ARE,41.258934020996094,0.06752327029369365,1,1
2010-03-01,ATO,17.731714248657227,-0.00042286431837074335,0,1
2010-03-01,AVB,60.69179153442383,0.1963796051162209,1,1
2010-03-01,AVGO,1.471733808517456,0.1290446971100005,1,1
2010-03-01,AVY,24.597267150878906,0.07848394961984977,1,1
2010-03-01,AWK,14.66342830657959,-0.08068043817504948,0,0
2010-03-01,AXON,4.46999979019165,-0.5254828209341124,0,0
2010-03-01,AXP,32.20151901245117,0.047398614845168746,1,1
2010-03-01,AZO,190.8800048828125,0.14007901539585835,1,1
2010-03-01,BA,50.352882385253906,0.022824464745332076,1,1
2010-03-01,BAC,12.490716934204102,-0.056176227762166124,0,0
2010-03-01,BALL,10.721285820007324,-0.09092754900130347,0,0
2010-03-01,BAX,17.057491302490234,-0.29350099004487723,0,0
2010-03-01,BBY,26.33441734313965,0.1497691413472675,1,1
2010-03-01,BDX,54.10356521606445,-0.08332602788599473,0,0
2010-03-01,BEN,19.405080795288086,-0.0058256234298376145,0,1
2010-03-01,BG,34.25355911254883,-0.19695425246747825,0,0
2010-03-01,BIIB,47.43000030517578,-0.1482600100516101,0,0
2010-03-01,BK,19.33075714111328,-0.04435997034454133,0,0
2010-03-01,BKNG,189.47998046875,-0.1705609489773983,0,0
2010-03-01,BKR,19.66886329650879,-0.22511309093245127,0,0
2010-03-01,BLDR,3.369999885559082,0.11630042173743066,1,1
2010-03-01,BLK,113.69767761230469,-0.2649082045402714,0,0
2010-03-01,BMY,14.133540153503418,-0.042041725982057424,0,0
2010-03-01,BR,13.988015174865723,-0.08957202444213333,0,0
2010-03-01,BRO,8.334775924682617,0.1597837149140446,1,1
2010-03-01,BSX,6.050000190734863,-0.24634335446116543,0,0
2010-03-01,BWA,13.936046600341797,-0.005353125961303127,0,1
2010-03-01,BX,5.054263591766357,-0.27206811006734294,0,0
2010-03-01,BXP,44.6337776184082,0.12829827801751187,1,1
2010-03-01,C,30.19849967956543,0.15246850299055964,1,1
2010-03-01,CAG,11.72780704498291,-0.002810035418842931,0,1
2010-03-01,CAH,23.31632423400879,0.02056092065849853,1,1
2010-03-01,CARR,,,0,0
2010-03-01,CAT,41.6717414855957,0.06980300257025618,1,1
2010-03-01,CB,35.91607666015625,-0.010560824336768969,0,1
2010-03-01,CBOE,,,0,0
